Column1;PC1;PC2;Unnamed: 0;Project;Treatment
156;-2,619319002;-1,36226809;Intensity_1DLC071515QE_RRAG_064B_rep3;PXD012477;Non-Healthy
157;-3,66033673;-1,239565546;Intensity_1DLC051815QE_RRAG_029B_rep4;PXD012477;Healthy
158;5,483425092;-0,925983181;Intensity_1DLC012615QE_RRAG_003B_rep4;PXD012477;Healthy
159;7,723834143;0,741055403;Intensity_1DLC123114QE_RRAG_053_rep2;PXD012477;Non-Healthy
160;-1,976217569;-0,173231864;Intensity_1DLC071015QE_RRAG_055B_rep2;PXD012477;Non-Healthy
161;-1,07741941;-1,646161527;Intensity_1DLC051815QE_RRAG_022B_rep3;PXD012477;Non-Healthy
162;4,043119246;-1,367950089;Intensity_1DLC122914QE_RRAG_058_rep4;PXD012477;Non-Healthy
163;-2,938014424;-1,453471125;Intensity_1DLC062715QE_RRAG_046B_rep4;PXD012477;Non-Healthy
164;-3,103129099;-0,549046203;Intensity_1DLC0080815QE_RRAG_002_rep2;PXD012477;Non-Healthy
165;7,13972163;0,147550315;Intensity_1DLC012615QE_RRAG_007B_rep3;PXD012477;Non-Healthy
166;-5,216484979;-1,898609232;Intensity_1DLC051815QE_RRAG_017B_rep3;PXD012477;Non-Healthy
167;5,959960435;-0,128415368;Intensity_1DLC121414QE_RRAG_014_rep3;PXD012477;Healthy
168;6,903769563;0,781416089;Intensity_1DLC121914QE_RRAG_030_rep3;PXD012477;Non-Healthy
169;5,324177946;-0,568241027;Intensity_1DLC121514QE_RRAG_019_rep1;PXD012477;Healthy
170;-2,06039073;-0,757788579;Intensity_1DLC071515QE_RRAG_058B_rep1;PXD012477;Non-Healthy
171;-2,136093469;-0,75013507;Intensity_1DLC071515QE_RRAG_060B_rep4;PXD012477;Healthy
172;6,327434109;-0,539405653;Intensity_1DLC122214QE_RRAG_037_rep1;PXD012477;Healthy
173;5,483292206;-0,814789831;Intensity_1DLC121414QE_RRAG_015_rep1;PXD012477;Non-Healthy
174;4,34179763;-0,13677814;Intensity_1DLC120914QE_RRAG_010_rep2;PXD012477;Non-Healthy
175;-3,103800914;-1,100708964;Intensity_1DLC061715QE_RRAG_038B_rep3;PXD012477;Non-Healthy
176;5,680397006;-1,249448226;Intensity_1DLC123114QE_RRAG_061_rep2;PXD012477;Healthy
177;6,534417057;-0,578198157;Intensity_1DLC122914QE_RRAG_048_101414_rep1;PXD012477;Non-Healthy
178;5,988078715;-0,907041485;Intensity_1DLC121514QE_RRAG_021_rep3;PXD012477;Healthy
179;6,829567969;0,072284575;Intensity_1DLC122514QE_RRAG_050_rep1;PXD012477;Non-Healthy
180;3,866266532;0,444429309;Intensity_1DLC120314QE_RRAG_006_rep2;PXD012477;Healthy
181;6,396437513;-0,669917051;Intensity_1DLC122214QE_RRAG_034_rep4;PXD012477;Healthy
182;-3,287113449;0,411727308;Intensity_1DLC051815QE_RRAG_026B_rep3;PXD012477;Non-Healthy
183;7,810744138;1,069611469;Intensity_1DLC123114QE_RRAG_053_rep1;PXD012477;Non-Healthy
184;-1,923128401;-1,36377641;Intensity_1DLC062715QE_RRAG_048B_rep1;PXD012477;Non-Healthy
185;-4,480412279;-1,755238381;Intensity_1DLC051815QE_RRAG_021B_rep3;PXD012477;Healthy
186;5,278877649;-0,713253341;Intensity_1DLC121514QE_RRAG_020_rep2;PXD012477;Non-Healthy
187;6,009758862;-0,528429582;Intensity_1DLC121514QE_RRAG_024_rep2;PXD012477;Healthy
188;6,054463546;-0,514444506;Intensity_1DLC121914QE_RRAG_028_rep3;PXD012477;Healthy
189;-0,206187451;-0,676348967;Intensity_1DLC071015QE_RRAG_053B_rep2;PXD012477;Non-Healthy
190;7,298003373;1,041167878;Intensity_1DLC122914QE_RRAG_059_rep3;PXD012477;Non-Healthy
191;6,297889971;-0,479329478;Intensity_1DLC121414QE_RRAG_013_rep4;PXD012477;Healthy
192;6,644913654;-0,479455878;Intensity_1DLC123114QE_RRAG_063_rep1;PXD012477;Non-Healthy
193;6,128962395;-0,741415168;Intensity_1DLC122514QE_RRAG_046_rep2;PXD012477;Non-Healthy
194;-3,653926517;-0,753312288;Intensity_1DLC062715QE_RRAG_043B_rep2;PXD012477;Non-Healthy
195;6,742123911;0,054060872;Intensity_1DLC120314QE_RRAG_005_rep4;PXD012477;Healthy
196;5,459778414;-0,942632279;Intensity_1DLC121514QE_RRAG_018_rep1;PXD012477;Non-Healthy
197;-3,52886098;-1,046569884;Intensity_1DLC071515QE_RRAG_056B_rep1;PXD012477;Healthy
198;5,869897625;-1,092933469;Intensity_1DLC012615QE_RRAG_016B_rep4;PXD012477;Non-Healthy
199;-1,697794511;-1,522793071;Intensity_1DLC060615QE_RRAG_032B_rep3;PXD012477;Healthy
200;3,529228266;-0,497047407;Intensity_1DLC120314QE_RRAG_001_rep2;PXD012477;Healthy
201;7,15326739;-0,201938904;Intensity_1DLC123114QE_RRAG_063_rep4;PXD012477;Non-Healthy
202;-4,534282629;-1,478289785;Intensity_1DLC051815QE_RRAG_019B_rep1;PXD012477;Healthy
203;7,840779035;0,462306921;Intensity_1DLC120314QE_RRAG_008_rep3;PXD012477;Non-Healthy
204;7,520020223;0,165246939;Intensity_1DLC123114QE_RRAG_053_rep3;PXD012477;Non-Healthy
205;3,574871825;0,104888521;Intensity_1DLC120314QE_RRAG_005_rep2;PXD012477;Healthy
206;-4,783198305;-1,048660018;Intensity_1DLC051815QE_RRAG_011B_rep2;PXD012477;Healthy
207;-3,643739567;-1,580173156;Intensity_1DLC071515QE_RRAG_062B_rep3;PXD012477;Non-Healthy
208;5,182452532;-0,814315248;Intensity_1DLC121914QE_RRAG_031_rep1;PXD012477;Non-Healthy
209;6,694143216;0,543537206;Intensity_1DLC122514QE_RRAG_041_rep4;PXD012477;Healthy
210;6,0919207;-0,316972614;Intensity_1DLC122514QE_RRAG_048_101314_rep2;PXD012477;Non-Healthy
211;5,834199095;0,391593818;Intensity_1DLC122914QE_RRAG_055_rep1;PXD012477;Non-Healthy
212;5,441224835;-1,332862796;Intensity_1DLC012615QE_RRAG_016B_rep3;PXD012477;Non-Healthy
213;-4,057380562;-1,140195254;Intensity_1DLC060615QE_RRAG_036B_rep2;PXD012477;Healthy
214;7,229903958;-0,304107529;Intensity_1DLC120314QE_RRAG_005_rep3;PXD012477;Healthy
215;5,458238577;-0,976235145;Intensity_1DLC121914QE_RRAG_025_rep2;PXD012477;Healthy
216;6,367911734;-0,660255831;Intensity_1DLC121414QE_RRAG_016_rep3;PXD012477;Non-Healthy
217;5,944081508;-0,305211882;Intensity_1DLC012615QE_RRAG_001B_rep2;PXD012477;Healthy
218;5,627869162;-0,698835634;Intensity_1DLC122914QE_RRAG_057_rep4;PXD012477;Healthy
219;5,506392546;-1,063144479;Intensity_1DLC121914QE_RRAG_028_rep4;PXD012477;Healthy
220;-1,333747711;-1,030697724;Intensity_1DLC051815QE_RRAG_022B_rep4;PXD012477;Non-Healthy
221;7,18987686;-1,233547079;Intensity_1DLC012615QE_RRAG_006B_rep2;PXD012477;Healthy
222;-3,686047408;-1,133619651;Intensity_1DLC051815QE_RRAG_018B_rep4;PXD012477;Non-Healthy
223;7,077946145;0,01276947;Intensity_1DLC122214QE_RRAG_034_rep2;PXD012477;Healthy
224;5,530980082;-0,9568217;Intensity_1DLC012615QE_RRAG_010B_rep2;PXD012477;Non-Healthy
225;7,396615613;-0,379835024;Intensity_1DLC122214QE_RRAG_039_rep2;PXD012477;Non-Healthy
226;-2,222019749;-0,975906445;Intensity_1DLC071515QE_RRAG_062B_rep1;PXD012477;Non-Healthy
227;7,470996189;1,617238151;Intensity_1DLC121914QE_RRAG_026_rep1;PXD012477;Non-Healthy
228;-4,331413101;-1,228897013;Intensity_1DLC0080815QE_RRAG_017_rep1;PXD012477;Non-Healthy
229;-4,079776431;-1,018161635;Intensity_1DLC051815QE_RRAG_028B_rep4;PXD012477;Healthy
230;6,936639025;-0,882335975;Intensity_1DLC121414QE_RRAG_016_rep4;PXD012477;Non-Healthy
